12:08:50.209 [main] INFO  com.daml.navigator.config.Config$ - Loading SDK config file from C:\Users\jesus\Code\Learning\daml\private-nft\nft\daml.yaml 
12:08:50.618 [da-ui-backend-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
12:08:50.707 [da-ui-backend-akka.actor.default-dispatcher-7] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-4, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:08:50.706UTC
12:08:51.060 [main] INFO  com.daml.navigator.NavigatorBackend$ - DA UI backend server listening on port 4000 
12:08:51.085 [da-ui-backend-akka.actor.default-dispatcher-7] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 9. Error: UNAVAILABLE: io exception 
12:08:56.103 [da-ui-backend-akka.actor.default-dispatcher-4] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-7, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:08:56.103UTC
12:08:56.106 [da-ui-backend-akka.actor.default-dispatcher-7] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 8. Error: UNAVAILABLE: io exception 
12:09:01.123 [da-ui-backend-akka.actor.default-dispatcher-4] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-7, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:09:01.123UTC
12:09:01.125 [da-ui-backend-akka.actor.default-dispatcher-7] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 7. Error: UNAVAILABLE: io exception 
12:09:06.153 [da-ui-backend-akka.actor.default-dispatcher-4] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-7, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:09:06.153UTC
12:09:06.155 [da-ui-backend-akka.actor.default-dispatcher-4] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 6. Error: UNAVAILABLE: io exception 
12:09:11.181 [da-ui-backend-akka.actor.default-dispatcher-7] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-4, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:09:11.181UTC
12:09:11.183 [da-ui-backend-akka.actor.default-dispatcher-4] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 5. Error: UNAVAILABLE: io exception 
12:09:16.203 [da-ui-backend-akka.actor.default-dispatcher-7] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-4, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:09:16.203UTC
12:09:16.205 [da-ui-backend-akka.actor.default-dispatcher-4] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 4. Error: UNAVAILABLE: io exception 
12:09:21.225 [da-ui-backend-akka.actor.default-dispatcher-7] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-4, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:09:21.225UTC
12:09:21.228 [da-ui-backend-akka.actor.default-dispatcher-4] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 3. Error: UNAVAILABLE: io exception 
12:09:26.244 [da-ui-backend-akka.actor.default-dispatcher-7] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-4, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:09:26.244UTC
12:09:26.246 [da-ui-backend-akka.actor.default-dispatcher-7] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 2. Error: UNAVAILABLE: io exception 
12:09:31.267 [da-ui-backend-akka.actor.default-dispatcher-6] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-7, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=18:09:31.267UTC
12:09:31.269 [da-ui-backend-akka.actor.default-dispatcher-7] WARN  com.daml.navigator.util.RetryHelper$ - Retrying after failure. Attempts remaining: 1. Error: UNAVAILABLE: io exception 
